Sector,Nombre de la empresa,comarca,correo electrónico,teléfono,persona de contacto,cargo,página web,dinamizador
Hostelería y Turismo,IDILIQ group,Costa Del Sol,,678035707,Álvaro Reyes,Técnico Rrhh,,
Hostelería y Turismo,Iberostar,Axarquía,,664000448,Patricia Piñero Gómez,Directora y subdirectora,,
Hostelería y Turismo,Hotel la Zambra,Costa Del Sol,,660201300,María Beltrán,Responsable RRHH,,
Hostelería y Turismo,AMO HOLIDAYS SL - Hotel 4* Benalmádena Palace,Costa Del Sol,,952964958 / 637544737,ANA BELÉN HUEDO FERNÁNDEZ,CALIDAD Y FORMACIÓN - RRHH,,David
Hostelería y Turismo,Grupo Trillo,Axarquía,,692544907,Pedro Trillo Dominguez,Propietario,,
Hostelería y Turismo,HOTEL CORTIJO DEL ARTE . LIRIA DE LAS MARISMAS S.L.,Guadalhorce,,651555580,SANTIAGO ROCA,PROPIETARIO,,
Hostelería y Turismo,RESTOADMIN SL,Málaga,,608004992,Jorge Moline,Socio,,
Hostelería y Turismo,MLHOTELES,Málaga,,667489150,Alicia Alfaro,Responsable RRHH,,
Hostelería y Turismo,RESTAURACION ANSADA 2022 S.L,Axarquía,,699002580,Antonio Rada,Dueño,,
Hostelería y Turismo,Miss Sushi Malaga,Costa Del Sol,,681302584,Alejandro,Director,,
Hostelería y Turismo,"Exploramás Eventos y Aventuras, SL",Málaga,,634257460,Sonsoles Jiménez,COO,,
Hostelería y Turismo,Soho Boutique Hotels,Axarquía,,608827726,Alejandro Ulloa Oliveros,Director de RRHH,,
Hostelería y Turismo,Guidum,Guadalhorce,,667906567,Manuel Martínez,Director de Negocio,,
Hostelería y Turismo,RAMLER,Antequera,,678190699,MARIOLA LOPEZ,RESPONSABLE RECURSOS HUMANOS,,
Hostelería y Turismo,Restaurantes Puerto Marina,Costa Del Sol,,647632005,Arancha Loriente,Responsable formación,,David
Hostelería y Turismo,"GRUPO NEGOCIOS DE RESTAURACIÓN DEL SUR, S.L.",Costa Del Sol,,696482990,IGNACIO DE LA OLIVA RAMÍREZ,DIRECTOR DE RECURSOS HUMANOS,,
Hostelería y Turismo,Grupo Baluarte,Costa Del Sol,,623279091,Laura Franco,Recursos Humanos,,
Hostelería y Turismo,HOTEL MALAGA PALACIO SA,"Costa Del Sol, Málaga",,952215185,OSCAR GALAN SILES,JEFE ADMINISTRACIÓN,,
Hostelería y Turismo,APARTAMENTOS TURISTICOS LAS YUCAS,Málaga,,675697604,MARIA JOSE SANCHEZ,PROPIETARIA,,
Hostelería y Turismo,Cafetería Fit And Natura,Málaga,,665792398,Francisco Clemente Garcia,Gerente,,
Hostelería y Turismo,Fundación Victoria,Málaga,,652984002,Pablo Pinteño,Coordinador FP,,
Hostelería y Turismo,Hapimag Marbella,Costa Del Sol,,611481081,Stefan Andrei,Resort Operations Manager,,
Hostelería y Turismo,Restaurante Cañadú,Málaga,,619468888,Francisco Javier Urbano López,Gerente,,
Hostelería y Turismo,CDP Santa Rosa de Lima,Axarquía,,653644434,Antonio Ordóñez Águila,Profesor Hosteleria,,
Hostelería y Turismo,FATIMA MENDOZA,Málaga,,610507609,FATIMA MENDOZA,REPRESENTANTE,,
Hostelería y Turismo,nubar,Málaga,,856839083,,,,
Hostelería y Turismo,negrini,Málaga,,916011440,,,,
Hostelería y Turismo,valcoiberia,"Antequera, Málaga",,,,,,
Hostelería y Turismo,Catalonia,Málaga,,952175060,,,,
Hostelería y Turismo,agencia digital turismo,Málaga,,951431814,,,,Juan Carlos
Hostelería y Turismo,CLICHE,Málaga,,640788693,,,,Juan Carlos
Servicios socioculturales y a la comunidad,Cleanderella,Costa Del Sol,,722631009,Romina,,,
Hostelería y Turismo,Melia Costa del Sol Torremolinos,Costa Del Sol,,,,,,David
Administración y Comercio,444 Grupo El Recreo SXXI,Guadalhorce,recreo@elrecreo.org,952 45 35 42,,,,
Administración y Comercio,A&M Peluqueras Cordero,Guadalhorce,ampeluquerascordero@gmail.com,952 45 52 48,,,,
Transporte y Fabricación,Grandes Creaciones,Guadalhorce,info@grandescreaciones.com,952 45 25 15,,,,
Administración y Comercio,Trizlos Gestión,Guadalhorce,info@trizlos.com,952 45 10 33,,,,
Textiles,Global Textile Solutions,Guadalhorce,info@globaltextilesolutions.es,952 45 58 48,,,,
Hostelería y Turismo,Marbella Hills Weddings and Events,Guadalhorce,info@marbellahillsweddings.com,952 45 03 40,,,,
Construcción,Franluga,Guadalhorce,franluga@franluga.com,952 45 14 36,,,,
Transporte y Fabricación,Chatarrería Andalucía,Guadalhorce,info@chatarreriaandalucia.es,952 45 15 15,,,,
Agraria,Coinagri,Guadalhorce,info@coinagri.es,952 45 50 64,,,,
Agraria,Hortícola del Guadalhorce,Guadalhorce,info@horticolaguadalhorce.com,952 45 31 16,,,,
Construcción,Cerámicas Coín,Guadalhorce,info@ceramicascoin.com,951 51 61 74,,,,
Transporte y Fabricación,Maderas El Mirador,Guadalhorce,maderaselmirador@hotmail.com,952 45 34 23,,,,
Agraria,Viveros Guzmán,Guadalhorce,info@viverosguzman.es,952 45 11 06,,,,
Transporte y Fabricación,Transportes Coín,Guadalhorce,info@transportescoin.com,952 45 01 02,,,,
Construcción,Hnos Santos Coín,Guadalhorce,hnos-santos@hotmail.com,952 45 33 00,,,,
Construcción,Excavaciones Perujo,Guadalhorce,info@excavacionesperujo.com,952 45 19 62,,,,
Transporte y Fabricación,Cárnicas El Alcázar,Guadalhorce,info@carnicaselalcazar.com,952 45 14 62,,,,
